"震災復興"	"住民の帰還"
"震災復興"	"生活の再建"
"平成２５年度復興予算編成"	"復興予算の大幅見直し"
"事業仕分"	"復興予算の大幅見直し"
"震災復興"	"復興予算の大幅見直し"
"震災復興"	"福島県内に100万kW級の石炭ガス化複合発電（IGCC）の新設"
"震災復興"	"福島県内での1万kW級のメガソーラー発電所を複数箇所に展開"
"震災復興"	"福島県内で最大2000人規模の雇用創出"
"震災復興"	"福島原発から東京への送電線の利用"
"震災復興"	"震災復興財源確保"
"震災復興"	"震災がれき処理"
"震災復興"	"東日本大震災と東京電力福島第一原発事故からの再生と次代へつなぐ共同の実践"
"震災復興"	"福島県内ＪＡを合併再編する"
"震災復興"	"衆議院選挙立候補予定者が復興への道筋を示す"
"移動先での被災者の生活支援を行う"	"避難生活の基盤整備"
"震災復興"	"避難生活の基盤整備"
"震災のことをわすれない"	"震災復興祈念八重桜植樹祭を行う"
"震災復興"	"震災復興祈念八重桜植樹祭を行う"
"震災復興"	"東日本大震災の被災者のための集会所「みんなの家」を作る"
"震災復興"	"被災道路の整備を行う"
"震災復興"	"南三陸町の復興"
"震災復興"	"南相馬市の復興"
"震災復興"	"震災で激減した乗客を呼び戻す"
"震災復興"	"岩手県の復興"
"震災復興"	"陸前高田市の復興"
"震災復興"	"「不良建設業者」を排除する"
"震災復興"	"復興予算の配分を被災地を最優先にする"
"震災復興"	"東日本大震災の復旧工事を行う"
"福島第１原発事故の避難区域再編を2013年3月から実施する"	"福島第１原発事故の避難区域見直しを行う"
"震災復興"	"福島第１原発事故の避難区域見直しを行う"
"震災復興"	"避難区域の解除"
"生活の再建"	"東北に観光客を誘致する"
"震災復興"	"東北に観光客を誘致する"
"震災復興"	"福島の特産品のすばらしさをＰＲする"
"震災復興"	"避難住民の帰還"
"震災前居住者と同じ5500人を確保し小中学校や医療機関、商業施設などの維持ができるようにする"	"閖上の復興計画の遂行"
"震災復興"	"閖上の復興計画の遂行"
"震災復興"	"再生を目指す複数の中小企業を支援する「グループ補助金」の充実"
"震災復興"	"雇用のミスマッチの解消"
"震災復興"	"東京電力福島第1原発事故に対応する"
"震災復興"	"村民の帰村"
"震災復興"	"震災復興事業を行う"
"生活の再建"	"仙台市の災害危険区域外の津波浸水地域住宅の再建"
"震災復興"	"仙台市の災害危険区域外の津波浸水地域住宅の再建"
"仙台市の災害危険区域外の津波浸水地域住宅の再建"	"東日本大震災の津波で浸水した災害危険区域外の被災者への住宅再建支援を行う"
"震災復興"	"東日本大震災の津波で浸水した災害危険区域外の被災者への住宅再建支援を行う"
"放射能除染"	"特殊ビデオカメラを除染作業で利用する"
"福島第１原発事故で発生した「指定廃棄物」の最終処分場を造る"	"「指定廃棄物」最終処分場を高萩市上君田の国有林に造る"
"放射能除染"	"「指定廃棄物」最終処分場を高萩市上君田の国有林に造る"
"放射能除染"	"中間貯蔵施設を建設する"
"放射能除染"	"早期除染"
"政権の維持"	"衆院解散"
"住民の帰還"	"大熊町に戻る"
"住民の帰還"	"住民帰還の作業拠点となる宿泊施設の設置"
"支援法の具体的な施策を充実させる"	"住民帰還の作業拠点となる宿泊施設の設置"
"住民の帰還"	"町民の絆を保つ"
"住民の帰還"	"帰還可能地域の住民に対する意識調査を行う"
"生活の再建"	"教育環境の整備"
"教育環境の整備"	"被災地の学生向けにインターネット上で教育や就職などの支援を行う"
"被災者の就労支援"	"被災地の学生向けにインターネット上で教育や就職などの支援を行う"
"収入の確保"	"農業の復興"
"農業の復興"	"福島ブランドの信頼回復"
"農業の復興"	"被災した農家支援"
"農業の復興"	"野生動物による農業被害を阻止する"
"イノシシを捕獲する"	"野生動物による農業被害を阻止する"
"避難住民の帰還"	"営農再開"
"農業の復興"	"営農再開"
